排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,3026,禾伸堂,330,+30,+10,05/08,+1.29,+1.7,+3.85,+5.03,+5.16,+5.27,+5.31,+5.1,+5.45,+5.65,+4.82,+5.05
2,8210,勤誠,1415,+125,+9.69,05/08,+0.83,+1.42,+1.93,+2.23,+2.82,+3.61,-3,-3.19,-0.82,+3.86,+2.56,-4.01
3,6715,嘉基,445,-22,-4.71,05/08,+0.77,+0.77,+0.94,+1.12,+1.8,+4.36,+5.47,+5.47,+5.47,+4.54,,+5.47
4,6291,沛亨,468,-14,-2.9,05/08,+0.74,+1.13,+1.73,+1.73,+2.84,+4.04,+4.7,+4.52,+5.14,+5.14,+5.14,+4.74
5,4966,譜瑞-KY,669,+60,+9.85,05/08,+0.58,+0.7,+0.78,+0.79,+1.13,+0.07,-0.24,+2.91,+4.61,-0.94,-5.62,+1.21
6,5289,宜鼎,1600,+25,+1.59,05/08,+0.58,+1.1,+1.42,+1.55,+2.57,+3.85,+2.31,+3.4,-0.47,+1.65,+3.06,+4.72
7,6669,緯穎,5200,+320,+6.56,05/08,+0.41,+0.51,+0.64,+0.77,+1.99,+3.05,+2.16,+1.2,+1.37,+3.35,,+0.55
8,8155,博智,444,-5,-1.11,05/08,+0.4,+0.46,+1.46,+2.14,+3.64,+3.61,+2.5,+2.71,+3.67,-9.51,+4.09,+2.45
9,6223,旺矽,5025,-5,-0.1,05/08,+0.32,+0.4,+0.43,+0.55,+0.44,+0.39,+1,-0.87,+7.86,+16.6,+13.3,-0.31
10,2327,國巨*,389,+17.5,+4.71,05/08,+0.29,+0.4,+0.45,+0.46,+0.38,+0.58,+0.18,+2.12,+2.27,+1.89,+2.47,+1.78
11,6805,富世達,1980,+60,+3.12,05/08,+0.28,+0.4,-2.31,-3.17,-3.9,-6.75,-4.09,-3.93,+4.38,,,-8.16
12,1477,聚陽,221.5,+1,+0.45,05/08,+0.28,+0.43,+0.47,+0.66,+0.47,-0.51,+0.01,-5.67,-1.2,+5.71,+6.39,-1
13,3443,創意,5210,-240,-4.4,05/08,+0.27,+0.54,+1,+1.25,+0.95,+1.61,+2.4,+4.38,+3.69,-0.43,+8.46,+3.26
14,3592,瑞鼎,258.5,+16,+6.6,05/08,+0.27,+0.42,+0.66,+1.32,+1.63,+1.57,+1.61,-10.9,-9.07,-0.5,,+0.74
15,2059,川湖,5320,+480,+9.92,05/08,+0.25,+0.25,+0.43,+0.54,+1.24,+1.59,+2.27,-2.93,-1.92,+4.12,+5.86,-1.04
16,3526,凡甲,395,+17.5,+4.64,05/08,+0.23,+0.22,+0.46,+1.19,+1.91,+1.85,+1.2,+1.61,+0.03,+3.83,+3.49,+1.42
17,3532,台勝科,257.5,-5.5,-2.09,05/08,+0.22,+0.23,+0.43,+0.43,+0.43,+0.92,+0.5,+1.54,+1.9,+0.29,-1.29,+1.59
18,6526,達發,753,+33,+4.58,05/08,+0.21,+0.49,+0.51,+0.53,+0.48,+0.47,+0.76,+0.52,+0.03,,,+0.74
19,3529,力旺,4335,-370,-7.86,05/08,+0.17,+0.48,+0.45,+0.39,-0.38,+1.04,+1.86,+1.47,+0.01,-1.18,+6.18,+2.34
20,3583,辛耘,788,-9,-1.13,05/08,+0.16,+0.66,+0.91,+1.4,+2.05,+2.7,+3.46,+2.6,+3.38,+3.87,-2.2,+3.46
21,006201,元大富櫃50,45.92,-0.91,-1.94,05/08,+0.16,+0.38,+0.43,+0.43,+0.33,+0.33,-0.5,-3.11,-7.08,-11.8,-81.9,-2.35
22,3211,順達,381.5,-2.5,-0.65,05/08,+0.15,+0.23,+0.03,-0.05,-4.16,-9.69,-5.04,-5.32,-6.62,+13.8,+14,-8.79
23,2731,雄獅,159.5,-4,-2.45,05/08,+0.15,+0.32,+0.47,+0.98,+1.29,+1.29,+1.73,+2.19,-1.3,-13.1,+0.78,+2.15
24,3551,世禾,210,-5,-2.33,05/08,+0.14,+0.14,+0.14,+0.05,+0.18,-0.09,-0.55,+1.16,+1.64,+1.34,+1.64,+0.08
25,3661,世芯-KY,4890,+95,+1.98,05/08,+0.14,+0.46,+0.61,+0.14,+0.11,+1.84,+0.74,+0.04,+0.85,-7.71,+7.34,+1.11
26,2393,億光,73.7,+1.2,+1.66,05/08,+0.14,+0.19,+0.32,+0.52,+0.4,+0.27,-0.87,-13.4,-17.7,+5.48,+5.21,-1.24
27,8299,群聯,2430,+40,+1.67,05/08,+0.13,+0.26,+0.65,+0.71,+1.47,-0.49,-4.38,-10,-11,+1.05,+1.38,-4.05
28,4746,台耀,54.3,-0.5,-0.91,05/08,+0.13,+0.32,+0.49,+0.87,+1.39,+1.39,+1.39,+1.39,+1.39,+0.79,-4,+1.39
29,2474,可成,205,-1,-0.49,05/08,+0.13,+0.13,+0.12,-0.1,-0.69,-2.74,-3.39,-10.3,+0.01,+6.47,+13.9,-7.21
30,4979,華星光,660,-40,-5.71,05/08,+0.13,+0.29,+0.99,+0.96,+0.59,-0.3,-0.41,+8.35,+4,+10.2,+12.2,+5.54
31,2548,華固,123.5,-1,-0.8,05/08,+0.13,+0.2,+0.31,+0.54,+0.62,+0.64,+0.94,+1.06,-0.74,+0.04,-0.37,+0.94
32,1319,東陽,80.2,+0.2,+0.25,05/08,+0.12,+0.16,+0.21,+0.31,+0.26,-0.55,-1.47,-1.57,-6.48,+7.1,+3.59,-1.63
33,3034,聯詠,498,+45,+9.93,05/08,+0.11,+0.11,+0.11,+0.12,-0.05,-0.09,-2.6,-6.23,-16.3,+6.88,+12.9,-4.54
34,2385,群光,134,+3,+2.29,05/08,+0.1,+0.13,+0.13,+0.08,-0.12,+0.1,+0.84,-4.06,-2.29,+8.09,+4.96,-1.75
35,9938,百和,44.8,-0.8,-1.75,05/08,+0.09,+0.21,+0.33,+0.94,+1.39,+1.21,-0.09,-0.99,-0.96,+1.65,-4.25,-1.02
36,9802,鈺齊-KY,80.4,-0.6,-0.74,05/08,+0.09,+0.21,+0.32,+0.66,+0.92,+0.92,-0.31,-0.71,-3.44,-2.25,+0.34,-1.47
37,4915,致伸,72.5,-1.1,-1.49,05/08,+0.08,+0.07,+0.1,+0.27,+0.1,-1.09,-1.66,-1.81,-7.8,+13.3,+14.2,-0.99
38,3533,嘉澤,2700,-150,-5.26,05/08,+0.08,+0.28,+0.38,+0.09,+0.19,+0.55,+3.63,+3.18,-0.3,-7.94,+3.82,+5.22
39,6274,台燿,1370,-75,-5.19,05/08,+0.08,+0.44,+1.16,+1.48,+1.23,+1.79,-6.56,-1.19,+6.39,+10.4,+5.15,-8.26
40,9941,裕融,75.7,-0.5,-0.66,05/08,+0.08,+0.12,+0.15,+0.38,+0.49,+0.42,-2.26,-2.8,-4.94,-1.38,-1.67,-2.93
41,2313,華通,253.5,+4,+1.6,05/08,+0.07,0,-0.18,+0.02,-0.41,-2.06,-0.26,+2.11,+1.26,+1.08,+2.1,+1.81
42,3702,大聯大,113.5,+10,+9.66,05/08,+0.07,+0.06,+0.04,-0.03,-1.07,-3.56,-2.28,-6.22,-13.4,-7,-1.22,-3.44
43,4576,大銀微系統,228,-14,-5.79,05/08,+0.07,+0.07,+0.07,+1.01,+1.01,+1.01,+1.02,+0.93,+0.68,+0.97,,+0.93
44,3293,鈊象,735,+15,+2.08,05/08,+0.07,+0.06,+0.05,+0.01,-0.06,-0.62,-0.79,+3.87,+2.17,+1.65,-2.26,-1.27
45,8454,富邦媒,196,+7,+3.7,05/08,+0.06,+0.09,+0.12,+0.21,+0.03,+0.03,+0.03,+0.6,+0.34,-0.33,+0.35,+0.32
46,3017,奇鋐,2445,+30,+1.24,05/08,+0.06,-0.3,-1.05,-1.26,-1.11,-0.65,+0.56,-2.05,+0.64,-11.7,+3.72,-1.73
47,6768,志強-KY,87.5,+3.1,+3.67,05/08,+0.06,+0.14,+0.22,+0.5,+0.8,+0.74,+0.4,-1.21,-1.06,+1.14,,-0.62
48,6285,啟碁,247.5,-8.5,-3.32,05/08,+0.06,+0.55,+0.47,+0.4,+0.18,+0.58,+1.41,+2.55,-4.2,+7.68,+4.02,+2.34
49,9910,豐泰,73.8,+3.7,+5.28,05/08,+0.06,+0.09,+0.14,+0.21,+0.32,+0.63,+0.64,+0.79,+0.76,+0.09,+0.5,+0.53
50,2408,南亞科,274,-13,-4.53,05/08,+0.06,+0.4,+0.59,+0.89,+0.98,+0.65,-1.29,+0.53,+2.34,-1.41,+2.49,-0.87
51,4105,東洋,75.4,+0.9,+1.21,05/08,+0.05,+0.13,+0.21,+0.4,+0.72,+0.72,+0.71,+0.62,+0.58,+0.47,-7.24,+0.7
52,5009,榮剛,36.5,+0.4,+1.11,05/08,+0.05,+0.12,+0.2,+0.2,+0.05,+0.03,0,+0.46,-5.37,-7.48,+0.43,+0.09
53,1612,宏泰,36.7,-0.5,-1.34,05/08,+0.05,+0.04,+0.1,+0.27,+0.48,+0.48,+0.48,+0.48,+0.48,+0.5,+0.46,+0.48
54,5534,長虹,78.4,-0.2,-0.25,05/08,+0.05,+0.12,+0.18,+0.35,+0.52,+0.52,+0.49,+0.5,-0.38,+0.49,-0.42,+0.5
55,3481,群創,29.4,-0.35,-1.18,05/08,+0.05,+0.05,+0.05,+0.03,-0.08,-0.39,-0.37,+0.23,-0.47,-0.42,-2.03,+0.1
56,5434,崇越,423,+4.5,+1.08,05/08,+0.04,+0.03,+0.04,+0.05,-0.09,-0.12,-0.79,-2.25,-2.15,+1.39,+3.24,-0.87
57,00935,野村臺灣新科技50,54.2,-0.65,-1.19,05/08,+0.04,+0.04,+0.06,+0.14,+0.08,-0.61,-3.86,+2.93,+2.93,,,+2.93
58,1560,中砂,572,-5,-0.87,05/08,+0.04,+0.04,+0.04,+0.19,-0.17,-0.71,-2.93,-2.74,-2.7,+2.05,+2.88,-3.54
59,2344,華邦電,107,-7,-6.14,05/08,+0.04,+0.33,+0.4,+0.45,+0.64,-0.74,+0.85,+1.41,+5.25,+4.35,+5.3,+1.81
60,6670,復盛應用,254,-4.5,-1.74,05/08,+0.04,+0.04,+0.08,+0.24,+0.18,-0.54,-0.35,-4.44,+0.38,+7.17,,-0.66
61,1307,三芳,32.2,+0.7,+2.22,05/08,+0.04,+0.03,+0.09,+0.27,+0.42,+0.39,+0.38,+0.34,-0.05,+0.58,+0.48,+0.34
