代號,名稱,成交,漲跌價,漲跌幅,成交張數,法人買賣日期,外資買進張數,外資賣出張數,外資買賣超張數,投信買進張數,投信賣出張數,投信買賣超張數,自營買進張數,自營賣出張數,自營買賣超張數,合計買進張數,合計賣出張數,合計買賣超張數,法人買賣超註記
2317,鴻海,239.5,+12,+5.27,"162,874",05/05,"103,115","20,496","+82,619","3,996",215,"+3,781","4,675","1,543","+3,133","111,787","22,254","+89,533",＋＋＋
2408,南亞科,256.5,+19.5,+8.23,"207,567",05/05,"61,085","36,152","+24,934","9,202",119,"+9,083","2,482","1,792",+690,"72,769","38,062","+34,707",＋＋＋
2313,華通,274.5,+6,+2.23,"126,303",05/05,"46,623","32,592","+14,031","1,167",0,"+1,167","1,095","1,149",-54,"48,885","33,741","+15,144",＋＋－
3715,定穎投控,196.5,+17.5,+9.78,"47,001",05/05,"15,112","5,374","+9,738",45,4,+41,"1,031",363,+667,"16,187","5,741","+10,446",＋＋＋
2492,華新科,148.5,+10,+7.22,"18,327",05/05,"12,247","4,535","+7,711",5,0,+5,346,243,+103,"12,598","4,779","+7,819",＋＋＋
2449,京元電子,354,+21.5,+6.47,"60,763",05/05,"29,682","26,139","+3,543","1,428",51,"+1,377",940,997,-57,"32,050","27,187","+4,863",＋＋－
5351,鈺創,74.1,+2.5,+3.49,"27,679",05/05,"9,511","5,538","+3,973",8,0,+8,68,50,+19,"9,587","5,588","+3,999",＋＋＋
2344,華邦電,98.8,+3.4,+3.56,"196,656",05/05,"61,911","61,289",+622,"2,143",152,"+1,991","1,945",626,"+1,319","65,999","62,067","+3,932",＋＋＋
2455,全新,386.5,+31.5,+8.87,"28,752",05/05,"9,366","7,135","+2,231",480,2,+478,762,487,+275,"10,608","7,624","+2,984",＋＋＋
2618,長榮航,34,+0.2,+0.59,"22,178",05/05,"13,404","11,087","+2,317","1,914","1,086",+828,234,490,-256,"15,552","12,663","+2,889",＋＋－
2401,凌陽,25.15,-0.15,-0.59,"7,226",05/05,"3,872",987,"+2,885",7,0,+7,106,157,-51,"3,985","1,144","+2,841",＋＋－
3033,威健,38.55,+0.65,+1.72,"14,136",05/05,"4,508","1,707","+2,801",550,16,+534,45,635,-590,"5,103","2,358","+2,745",＋＋－
3105,穩懋,555,+31,+5.92,"35,735",05/05,"11,647","9,762","+1,885",456,6,+450,665,390,+275,"12,767","10,158","+2,610",＋＋＋
3006,晶豪科,182,+9,+5.2,"25,014",05/05,"8,414","6,008","+2,406",5,4,+1,263,315,-52,"8,681","6,327","+2,355",＋＋－
6488,環球晶,666,+60,+9.9,"16,329",05/05,"4,366","3,176","+1,190",615,10,+605,583,223,+360,"5,564","3,409","+2,155",＋＋＋
5483,中美晶,144.5,+8,+5.86,"31,365",05/05,"9,952","9,602",+350,"1,027",190,+837,617,263,+353,"11,596","10,055","+1,540",＋＋＋
5371,中光電,74.3,+4.1,+5.84,"7,173",05/05,"2,244","1,266",+978,300,0,+300,259,110,+149,"2,803","1,376","+1,427",＋＋＋
2363,矽統,55.8,+1.4,+2.57,"11,159",05/05,"3,341","2,168","+1,173",10,0,+10,309,92,+217,"3,660","2,260","+1,400",＋＋＋
6202,盛群,57.2,+1.7,+3.06,"3,689",05/05,"1,890",575,"+1,315",7,0,+7,36,7,+29,"1,933",582,"+1,351",＋＋＋
2327,國巨*,348.5,+6,+1.75,"39,818",05/05,"17,824","17,096",+728,422,273,+149,502,373,+129,"18,747","17,742","+1,005",＋＋＋
8070,長華*,49.1,+0.6,+1.24,"2,881",05/05,"1,203",630,+573,397,100,+297,48,19,+29,"1,649",749,+899,＋＋＋
2385,群光,130,+2.5,+1.96,"5,379",05/05,"2,831","1,936",+895,503,423,+80,63,144,-81,"3,396","2,503",+893,＋＋－
6120,達運,13,+0.35,+2.77,"3,423",05/05,"1,606",745,+861,20,0,+20,5,10,-5,"1,631",755,+876,＋＋－
2851,中再保,30.55,+0.2,+0.66,"2,480",05/05,"1,283",449,+834,18,0,+18,7,18,-11,"1,308",467,+841,＋＋－
8210,勤誠,1265,+115,+10,"2,447",05/05,718,343,+375,329,0,+329,186,56,+130,"1,233",399,+834,＋＋＋
2395,研華,396.5,+1.5,+0.38,"5,247",05/05,"3,111","2,451",+660,10,2,+8,66,46,+20,"3,188","2,499",+689,＋＋＋
8150,南茂,84.1,+7.6,+9.93,"20,022",05/05,"3,661","3,578",+83,368,0,+368,319,95,+224,"4,348","3,673",+675,＋＋＋
8046,南電,997,+11,+1.12,"11,932",05/05,"4,449","3,923",+527,104,22,+82,254,236,+18,"4,807","4,181",+626,＋＋＋
1434,福懋,15.95,-0.05,-0.31,"1,334",05/05,746,190,+556,37,0,+37,0,1,-1,783,191,+592,＋＋－
6191,精成科,100,+1.5,+1.52,"6,503",05/05,"2,034","1,461",+573,1,0,+1,57,40,+17,"2,092","1,501",+591,＋＋＋
2412,中華電,136,+0.5,+0.37,"5,345",05/05,"3,063","2,578",+486,168,69,+99,6,12,-6,"3,237","2,658",+578,＋＋－
2368,金像電,1480,+40,+2.78,"3,705",05/05,"1,637","1,466",+171,360,4,+356,161,169,-9,"2,157","1,640",+518,＋＋－
3044,健鼎,484.5,+19,+4.08,"4,280",05/05,"2,076","1,743",+333,401,235,+166,103,101,+2,"2,580","2,079",+501,＋＋＋
2436,偉詮電,73.5,-0.6,-0.81,"5,558",05/05,"1,555",946,+609,3,0,+3,27,139,-112,"1,585","1,085",+500,＋＋－
8155,博智,456.5,+41.5,+10,"4,987",05/05,"1,172",960,+213,367,0,+367,105,199,-94,"1,644","1,158",+486,＋＋－
3035,智原,177,+8,+4.73,"13,266",05/05,"3,619","3,368",+251,2,0,+2,322,95,+227,"3,943","3,463",+480,＋＋＋
2031,新光鋼,40.75,+0.05,+0.12,"1,153",05/05,411,290,+121,356,0,+356,0,1,-1,767,291,+477,＋＋－
8299,群聯,2115,+105,+5.22,"9,356",05/05,"2,562","2,367",+195,136,80,+56,455,235,+220,"3,153","2,682",+471,＋＋＋
3189,景碩,527,-4,-0.75,"15,100",05/05,"4,504","4,108",+396,537,449,+88,172,193,-21,"5,213","4,750",+462,＋＋－
6138,茂達,251.5,+7.5,+3.07,"1,604",05/05,734,312,+422,3,1,+2,28,10,+18,764,323,+441,＋＋＋
3014,聯陽,131,+4,+3.15,"2,505",05/05,921,533,+388,34,9,+25,19,5,+14,974,547,+427,＋＋＋
8054,安國,112,+6,+5.66,"2,906",05/05,729,360,+369,5,0,+5,49,9,+39,783,369,+413,＋＋＋
7769,鴻勁,5600,+220,+4.09,"1,451",05/05,"1,013",622,+391,28,19,+9,38,42,-5,"1,079",684,+395,＋＋－
6715,嘉基,444,+18,+4.23,"1,590",05/05,720,461,+259,123,1,+122,4,11,-7,847,473,+374,＋＋－
3374,精材,200,-2,-0.99,"6,421",05/05,"1,695","1,248",+447,25,0,+25,33,132,-99,"1,753","1,380",+373,＋＋－
6462,神盾,130,+6.5,+5.26,"2,584",05/05,672,418,+254,2,0,+2,127,11,+116,801,429,+372,＋＋＋
3665,貿聯-KY,2875,-65,-2.21,"2,107",05/05,"1,466","1,184",+282,116,23,+93,39,47,-8,"1,622","1,254",+367,＋＋－
6104,創惟,98.4,+1.2,+1.23,"1,571",05/05,517,199,+318,3,0,+3,21,7,+14,541,206,+335,＋＋＋
4746,台耀,56.1,+1.3,+2.37,"1,563",05/05,457,342,+115,208,0,+208,60,49,+11,725,391,+334,＋＋＋
3545,敦泰,53,+1.8,+3.52,"1,388",05/05,516,228,+288,2,0,+2,26,4,+23,544,232,+313,＋＋＋
6719,力智,190,+10.5,+5.85,"1,761",05/05,551,301,+250,2,0,+2,57,3,+54,610,304,+306,＋＋＋
8454,富邦媒,179,+3,+1.7,747,05/05,385,202,+183,116,2,+114,20,17,+3,521,221,+299,＋＋＋
3529,力旺,4445,+265,+6.34,620,05/05,415,147,+267,13,4,+9,31,25,+6,459,176,+283,＋＋＋
6525,捷敏-KY,102.5,+6.6,+6.88,"1,865",05/05,521,443,+78,200,0,+200,2,1,+1,723,444,+279,＋＋＋
2472,立隆電,188.5,+4.5,+2.45,"4,274",05/05,"1,251","1,044",+207,53,2,+51,54,49,+5,"1,358","1,096",+262,＋＋＋
2897,王道銀行,10.05,0,0,"1,329",05/05,629,419,+210,44,0,+44,0,0,0,673,419,+254,＋＋－
8016,矽創,234.5,+1,+0.43,870,05/05,456,222,+234,17,2,+15,5,5,0,478,229,+249,＋＋－
3029,零壹,102,+0.5,+0.49,"1,960",05/05,538,492,+46,195,3,+191,24,15,+9,757,511,+246,＋＋＋
5236,凌陽創新,164,+3.5,+2.18,382,05/05,232,30,+202,2,0,+2,1,0,+1,235,30,+205,＋＋＋
6177,達麗,45.4,+0.25,+0.55,774,05/05,342,218,+124,78,0,+78,3,2,+1,423,220,+203,＋＋＋
5904,寶雅,570,-4,-0.7,485,05/05,234,98,+136,8,0,+8,39,11,+28,281,109,+172,＋＋＋
2480,敦陽科,150,+3.5,+2.39,597,05/05,203,142,+61,104,1,+103,9,3,+6,316,146,+170,＋＋＋
3491,昇達科,1695,-10,-0.59,"2,554",05/05,935,764,+171,25,1,+24,140,180,-39,"1,100",945,+155,＋＋－
2383,台光電,4730,-25,-0.53,"2,021",05/05,821,759,+62,187,119,+68,88,67,+21,"1,096",946,+150,＋＋＋
3217,優群,174,+4,+2.35,754,05/05,271,193,+78,14,3,+11,62,7,+54,347,203,+143,＋＋＋
6206,飛捷,110.5,-0.5,-0.45,888,05/05,318,204,+114,30,1,+29,11,12,0,359,217,+142,＋＋－
2059,川湖,4140,+85,+2.1,585,05/05,241,195,+46,112,16,+96,20,21,0,373,232,+141,＋＋－
2379,瑞昱,533,+5,+0.95,"2,853",05/05,"2,126","2,019",+108,86,15,+72,8,50,-42,"2,220","2,083",+137,＋＋－
2727,王品,228,-1,-0.44,313,05/05,129,57,+72,64,1,+63,16,14,+2,209,72,+137,＋＋＋
8261,富鼎,124.5,+5,+4.18,"4,173",05/05,954,935,+20,2,0,+2,106,7,+99,"1,062",942,+121,＋＋＋
6830,汎銓,975,+50,+5.41,"2,893",05/05,914,791,+123,3,0,+3,39,67,-28,956,858,+98,＋＋－
6643,M31,640,+38,+6.31,"1,173",05/05,59,11,+48,2,0,+2,98,54,+44,159,65,+94,＋＋＋
5222,全訊,137.5,+2,+1.48,361,05/05,122,35,+87,1,0,+1,11,5,+6,134,40,+94,＋＋＋
2072,世紀風電,178.5,-2.5,-1.38,382,05/05,90,64,+26,50,0,+50,0,10,-10,140,74,+66,＋＋－
6670,復盛應用,257,+1,+0.39,460,05/05,217,204,+13,109,19,+89,15,57,-42,341,280,+60,＋＋－
6732,昇佳電子,154.5,+3.5,+2.32,159,05/05,68,18,+50,2,0,+2,0,0,0,70,18,+52,＋＋－
3228,金麗科,220,+20,+10,"1,171",05/05,43,14,+29,1,0,+1,14,2,+12,58,16,+42,＋＋＋
6472,保瑞,407.5,+1.5,+0.37,505,05/05,162,140,+22,3,0,+3,4,4,0,169,144,+25,＋＋＋
4966,譜瑞-KY,562,-13,-2.26,"1,430",05/05,492,447,+44,6,4,+2,33,54,-22,530,505,+25,＋＋－
1560,中砂,572,+15,+2.69,"2,090",05/05,593,581,+12,2,0,+2,98,93,+5,694,674,+20,＋＋＋
6533,晶心科,243.5,+6,+2.53,"1,662",05/05,347,346,+1,1,0,+1,15,16,-1,363,362,+1,＋＋－
