排名,代號,名稱,成交,漲跌價,漲跌幅,法人買賣日期,當日買賣超佔發行張數,2日買賣超佔發行張數,3日買賣超佔發行張數,5日買賣超佔發行張數,10日買賣超佔發行張數,1個月買賣超佔發行張數,3個月買賣超佔發行張數,半年買賣超佔發行張數,1年買賣超佔發行張數,3年買賣超佔發行張數,10年買賣超佔發行張數,今年買賣超佔發行張數
1,5439,高技,411,+37,+9.89,05/14,+4.25,+4.22,+3.93,+2.32,+0.94,-0.86,+6.6,+2.92,+4.88,+4.11,+15.1,+12.5
2,3707,漢磊,80,+7.2,+9.89,05/14,+4.11,+2.98,+4.33,+4.1,+4.69,+7.04,+8.49,+9.31,+7.58,+6.49,+5.49,+8.03
3,6265,方土昶,46.2,+3.45,+8.07,05/14,+4.07,+3.8,+3.07,+4.51,-0.75,+2.14,+0.09,-2.91,+0.39,+1.25,+2.67,-0.83
4,8261,富鼎,136,+4,+3.03,05/14,+3.63,+4.22,+3.83,+1.53,+0.42,+1.98,+6.04,+1.71,+4.38,+4.52,+3.74,+4.4
5,8028,昇陽半導體,261.5,+23.5,+9.87,05/14,+3.54,+3.19,+3.23,+3.01,+1.78,+7.98,+11.5,+9.29,+8.22,+8.43,,+5.35
6,2355,敬鵬,53.9,+2.6,+5.07,05/14,+3.28,+3.15,+2.63,+2.16,+4.83,+4.71,+9.72,+10.1,+8.55,+1.84,-9.77,+9.98
7,3048,益登,51,+4.55,+9.8,05/14,+3.02,+3.29,+4.76,+6.63,+7,+9.33,+9.52,+9.6,+3.96,+7.28,+7.2,+9.76
8,8096,擎亞,97.1,+2.5,+2.64,05/14,+2.96,+2.22,-0.07,+0.5,-0.24,+0.92,-5.86,-2.27,-5.39,-2.87,-2.94,+7.04
9,2367,燿華,65,+3.8,+6.21,05/14,+2.81,+1.49,+2.08,+2.03,+1.64,+2.16,-0.48,-1.53,-1.66,+0.15,-11.1,+3.13
10,00678,群益那斯達克生技,36.33,-0.1,-0.27,05/14,+2.34,+0.35,+1.45,+0.48,+3.02,+4.35,+4.35,+4.44,+16.9,+17.4,,+1
11,2485,兆赫,70.7,+3.5,+5.21,05/14,+2.26,+2.27,+2.34,+1.84,+0.68,+1.06,-0.64,-1.98,-3.96,-6.65,-7.73,+0.7
12,3006,晶豪科,238,+21.5,+9.93,05/14,+2.18,+2.43,+3.2,+5.87,+8.58,+8.1,+8.46,+16.7,+22.1,+25.8,+26.8,+7.76
13,6209,今國光,68.3,+6.2,+9.98,05/14,+2.16,+1.46,+1.22,-1.05,+0.86,+0.62,+0.59,-8.63,+1.59,+5.02,+3.84,-2.8
14,8039,台虹,149.5,+11.5,+8.33,05/14,+2.06,+1.68,+1.59,+1.6,+0.92,-3.41,+0.41,+2.9,-1.65,-1.92,-1.7,-3.98
15,00793B,群益AAA-A醫療債,30.61,-0.01,-0.03,05/14,+2.01,+2.01,+2.01,+2.01,+2.04,+2.04,-1.84,-4.37,-2.72,-3.74,,-4.51
16,8147,正淩,182,+16.5,+9.97,05/14,+1.95,+1.95,+4.91,+6.13,+4.52,+2.29,+3.09,+2.36,+2.97,+2.34,+2.59,+2.17
17,3317,尼克森,74,+5.7,+8.35,05/14,+1.94,+2.12,+1.75,+0.82,+1.8,+1.12,+0.87,+1.94,+0.37,+2.69,+2.93,+1.36
18,8016,矽創,294.5,+26.5,+9.89,05/14,+1.85,+1.79,+2.36,+2.55,+3.81,+5.72,+6.54,+4.71,+4.59,+6,+7.56,+8.19
19,6806,森崴能源,17.3,-1.9,-9.9,05/14,+1.81,+1.81,+1.93,+1.9,+2.08,+1.93,+2.34,+1.84,-0.54,+0.64,,+1.9
20,009820,元大納斯達克精選,10.04,+0.02,+0.2,05/14,+1.77,+2.96,+4.72,+6.57,+6.74,,,,,,,
21,2492,華新科,220,+20,+10,05/14,+1.73,+2.66,+2.22,+3.67,+7.21,+8.32,+10.2,+11.5,+11,+7.14,+1.55,+12.9
22,00984B,大華優利美A債15,16.27,+0.02,+0.12,05/14,+1.53,+2.04,+2.65,+5.99,+9.98,+20,+27.5,+24.1,+29.8,,,+27.4
23,2313,華通,245.5,+8.5,+3.59,05/14,+1.5,-1.92,+0.6,-0.46,+0.09,-0.17,-7.24,-11.4,+7.85,+2.68,+3.01,-7.57
24,2363,矽統,63,+3.1,+5.18,05/14,+1.38,+1.33,+1.32,+3.31,+3.88,+4.39,+6,+6.9,-0.84,+7.34,+7.01,+6.53
25,3217,優群,187,+7.5,+4.18,05/14,+1.35,+1.27,+1.03,+1.13,+1.26,+0.06,-3.64,-10.8,-6.21,+1.03,+2.15,-6.74
26,2027,大成鋼,39.8,+1.7,+4.46,05/14,+1.34,+0.85,+1.19,+2.08,+3.55,+3.03,+1.19,-5.32,-8.79,+3.87,+2.52,+0.92
27,3189,景碩,522,+24.5,+4.92,05/14,+1.27,+1.42,+1.22,+2.73,+2.44,+2.93,+2.77,+4.22,+8.91,+10.6,-1.53,-1.29
28,3042,晶技,149.5,+3,+2.05,05/14,+1.21,+1.93,+2.3,+3.41,+2.84,+5.27,+8.28,+10.1,+11.8,+9.32,-4.98,+9.78
29,6672,騰輝電子-KY,195,-3,-1.52,05/14,+1.18,+1.66,+1.5,-1.1,+0.61,+0.8,-3.03,-1.75,-1.73,-4.04,,-0.57
30,3413,京鼎,321,+10,+3.22,05/14,+1.17,+1.41,+1.57,+1.24,-0.64,-1.42,+2.04,-7.54,-13.1,-7.02,+1.97,-1.79
31,00875,國泰網路資安,42.9,+0.07,+0.16,05/14,+1.15,+1.15,+1.43,+1.72,+1.58,+2.27,+9.23,+13.9,+42.8,+168,,+12.6
